PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
null;0;50;3;1235;0;376;0.0;0.003;0.001;0.0;6.052804663873849;0.003;82.0;
DC5_VM0;0;50;3;1235;0;377;0.0;0.003;0.001;0.0;6.052804663873849;0.003;87.74394283151923;
DC5_VM0;0;50;0;144;1;36;0.0;0.003;0.002;0.01;6.052804663873849;0.003;93.79507925493999;
DC5_VM0;0;50;0;144;1;37;0.0;0.003;0.002;0.01;6.052804663873849;0.003;99.83788391881387;
DC5_VM0;0;50;0;144;1;38;0.0;0.003;0.002;0.01;6.052804663873849;0.003;105.88068858268775;
DC5_VM0;0;50;0;144;1;39;0.0;0.003;0.002;0.01;6.052804663873849;0.003;111.92349324656163;
DC5_VM0;0;50;0;144;1;40;0.0;0.003;0.002;0.01;6.052804663873849;0.003;117.96629791043551;
DC5_VM0;0;50;0;144;1;41;0.0;0.003;0.002;0.01;6.052804663873849;0.003;124.0091025743094;
DC5_VM0;0;50;0;144;1;42;0.0;0.003;0.002;0.01;6.052804663873849;0.003;130.05190723818328;
DC5_VM0;0;50;0;144;1;43;0.0;0.003;0.002;0.01;6.052804663873849;0.003;136.09471190205716;
DC5_VM0;0;50;0;144;1;44;0.0;0.003;0.002;0.01;6.052804663873849;0.003;142.13751656593104;
DC5_VM0;0;50;0;144;1;45;0.0;0.003;0.002;0.01;6.052804663873849;0.003;148.18032122980492;
DC5_VM0;0;50;0;144;1;46;0.0;0.003;0.002;0.01;6.052804663873849;0.003;154.2231258936788;
DC5_VM0;0;50;0;144;1;47;0.0;0.003;0.002;0.01;6.052804663873849;0.003;160.26593055755268;
DC5_VM0;0;50;0;144;1;48;0.0;0.003;0.002;0.01;6.052804663873849;0.003;166.30873522142656;
DC5_VM0;0;50;0;144;1;49;0.0;0.003;0.002;0.01;6.052804663873849;0.003;172.35153988530044;
DC5_VM0;0;50;0;144;1;50;0.0;0.003;0.002;0.01;6.052804663873849;0.003;178.39434454917432;
DC5_VM0;0;50;0;144;1;51;0.0;0.003;0.002;0.01;6.052804663873849;0.003;184.4371492130482;
DC5_VM0;0;50;0;144;1;52;0.0;0.003;0.002;0.01;6.052804663873849;0.003;190.47995387692208;
DC5_VM0;0;50;0;144;1;53;0.0;0.003;0.002;0.01;6.052804663873849;0.003;196.52275854079596;
DC5_VM0;0;50;0;144;1;54;0.0;0.003;0.002;0.01;6.052804663873849;0.003;202.56556320466984;
DC5_VM0;0;50;3;1235;0;378;0.0;0.003;0.001;0.0;6.052804663873849;0.003;208.6084255595453;
DC5_VM0;0;50;0;144;1;55;0.0;0.003;0.002;0.01;6.052804663873849;0.003;214.6611725324176;
DC5_VM0;0;50;0;144;1;56;0.0;0.003;0.002;0.01;6.052804663873849;0.003;220.70397719629148;
DC5_VM0;0;50;0;144;1;57;0.0;0.003;0.002;0.01;6.052804663873849;0.003;226.74678186016536;
DC5_VM0;0;50;0;144;1;58;0.0;0.003;0.002;0.01;6.052804663873849;0.003;232.78958652403924;
DC5_VM0;0;50;0;144;1;59;0.0;0.003;0.002;0.01;6.052804663873849;0.003;238.83239118791312;
DC5_VM0;0;50;0;144;1;60;0.0;0.003;0.002;0.01;6.052804663873849;0.003;244.875195851787;
DC5_VM0;0;50;0;144;1;61;0.0;0.003;0.002;0.01;6.052804663873849;0.003;250.91800051566088;
DC5_VM0;0;50;0;144;1;62;0.0;0.003;0.002;0.01;6.052804663873849;0.003;256.96080517953476;
DC5_VM0;0;50;0;144;1;63;0.0;0.003;0.002;0.01;6.052804663873849;0.003;263.00360984340864;
DC5_VM0;0;50;0;144;1;64;0.0;0.003;0.002;0.01;6.052804663873849;0.003;269.0464145072825;
DC5_VM0;0;50;0;144;1;65;0.0;0.003;0.002;0.01;6.052804663873849;0.003;275.0892191711564;
DC5_VM0;0;50;0;144;1;66;0.0;0.003;0.002;0.01;6.052804663873849;0.003;281.1320238350303;
DC5_VM0;0;50;0;144;1;67;0.0;0.003;0.002;0.01;6.052804663873849;0.003;287.17482849890416;
DC5_VM0;0;50;0;144;1;68;0.0;0.003;0.002;0.01;6.052804663873849;0.003;293.21763316277804;
DC5_VM0;0;50;0;144;1;69;0.0;0.003;0.002;0.01;6.052804663873849;0.003;299.2604378266519;
DC5_VM0;0;50;0;144;1;70;0.0;0.003;0.002;0.01;6.052804663873849;0.003;305.3032424905258;
DC5_VM0;0;50;0;144;1;71;0.0;0.003;0.002;0.01;6.052804663873849;0.003;311.3460471543997;
