PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
null;0;34;1;15;0;6;0.0;0.003;0.001;0.0;15.384615384615383;0.003;82.0;
DC1_VM0;0;34;0;1;1;0;0.0;0.003;0.002;0.01;15.384615384615383;0.003;95.5286793327676;
DC1_VM0;0;34;1;15;1;0;0.0;0.003;0.002;0.01;15.384615384615383;0.003;110.90329471738298;
DC1_VM0;0;34;1;15;1;1;0.0;0.003;0.002;0.01;15.384615384615383;0.003;126.27791010199836;
DC1_VM0;0;34;1;15;1;2;0.0;0.003;0.002;0.01;15.384615384615383;0.003;141.65252548661374;
DC1_VM0;0;34;1;15;1;3;0.0;0.003;0.002;0.01;15.384615384615383;0.003;157.0271408712291;
DC1_VM0;0;34;1;15;1;4;0.0;0.003;0.002;0.01;15.384615384615383;0.003;172.40175625584445;
DC1_VM0;0;34;1;15;1;5;0.0;0.003;0.002;0.01;15.384615384615383;0.003;187.7763716404598;
DC1_VM0;0;34;1;15;0;7;0.0;0.003;0.001;0.0;15.384615384615383;0.003;184.65098232788986;
DC1_VM0;0;34;1;15;0;8;0.0;0.003;0.001;0.0;15.384615384615383;0.003;175.39448750876247;
DC1_VM0;0;34;1;15;0;9;0.0;0.003;0.001;0.0;15.384615384615383;0.003;174.07287271550885;
DC1_VM0;0;34;1;15;0;10;0.0;0.003;0.001;0.0;15.384615384615383;0.003;172.3149841916863;
DC1_VM0;0;34;1;15;0;11;0.0;0.003;0.001;0.0;15.384615384615383;0.003;181.99096209893526;
DC1_VM0;0;34;1;15;0;12;0.0;0.003;0.001;0.0;15.384615384615383;0.003;186.3091267171702;
DC1_VM0;0;34;1;15;0;13;0.0;0.003;0.001;0.0;15.384615384615383;0.003;186.3470752542005;
DC1_VM0;0;34;1;15;0;14;0.0;0.003;0.001;0.0;15.384615384615383;0.003;199.45859719050893;
DC1_VM0;0;34;2;1;0;0;0.0;0.003;0.001;0.0;15.384615384615383;0.003;201.585180362313;
DC1_VM0;0;34;3;2;0;0;0.0;0.003;0.001;0.0;15.384615384615383;0.003;194.72288119166046;
DC1_VM0;0;34;3;2;0;1;0.0;0.003;0.001;0.0;15.384615384615383;0.003;173.03627382793587;
DC1_VM0;0;34;4;2;0;0;0.0;0.003;0.001;0.0;15.384615384615383;0.003;153.54252249981414;
DC1_VM0;0;34;4;2;0;1;0.0;0.003;0.001;0.0;15.384615384615383;0.003;69.6555604640663;
DC1_VM0;0;34;5;29;0;0;0.0;0.003;0.001;0.0;15.384615384615383;0.003;77.96875279494196;
DC1_VM0;0;34;5;29;0;1;0.0;0.003;0.001;0.0;15.384615384615383;0.003;58.1501252095004;
DC1_VM0;0;34;5;29;0;2;0.0;0.003;0.001;0.0;15.384615384615383;0.003;48.49193553786745;
DC1_VM0;0;34;5;29;0;3;0.0;0.003;0.001;0.0;15.384615384615383;0.003;51.35711570150056;
DC1_VM0;0;34;5;29;0;4;0.0;0.003;0.001;0.0;15.384615384615383;0.003;56.244066730550685;
DC1_VM0;0;34;5;29;0;5;0.0;0.003;0.001;0.0;15.384615384615383;0.003;28.657469349010512;
DC1_VM0;0;34;5;29;0;6;0.0;0.003;0.001;0.0;15.384615384615383;0.003;32.56500677430188;
DC1_VM0;0;34;5;29;0;7;0.0;0.003;0.001;0.0;15.384615384615383;0.003;31.979788452771004;
DC1_VM0;0;34;5;29;0;8;0.0;0.003;0.001;0.0;15.384615384615383;0.003;0.0;
DC1_VM0;0;34;5;29;0;9;0.0;0.003;0.001;0.0;15.384615384615383;0.003;0.0;
DC1_VM0;0;34;5;29;0;10;0.0;0.003;0.001;0.0;15.384615384615383;0.003;0.0;
DC1_VM0;0;34;5;29;0;11;0.0;0.003;0.001;0.0;15.384615384615383;0.003;0.0;
DC1_VM0;0;34;5;29;0;12;0.0;0.003;0.001;0.0;15.384615384615383;0.003;7.715043353127385;
DC1_VM0;0;34;5;29;0;13;0.0;0.003;0.001;0.0;15.384615384615383;0.003;3.5995906206358086;
DC1_VM0;0;34;5;29;0;14;0.0;0.003;0.001;0.0;15.384615384615383;0.003;0.0;
DC1_VM0;0;34;5;29;0;15;0.0;0.003;0.001;0.0;15.384615384615383;0.003;4.685990495292003;
DC1_VM0;0;34;5;29;0;16;0.0;0.003;0.001;0.0;15.384615384615383;0.003;11.44576619968268;
DC1_VM0;0;34;5;29;0;17;0.0;0.003;0.001;0.0;15.384615384615383;0.003;14.917568552682724;
DC1_VM0;0;34;5;29;0;18;0.0;0.003;0.001;0.0;15.384615384615383;0.003;0.0;
DC1_VM0;0;34;5;29;0;19;0.0;0.003;0.001;0.0;15.384615384615383;0.003;7.675270253385975;
null;0;31;0;2;0;0;0.0;0.003;0.001;0.0;15.384615384615383;0.003;82.0;
DC2_VM0;0;31;0;2;0;1;0.0;0.003;0.001;0.0;15.384615384615383;0.003;80.80389195841431;
DC2_VM0;0;26;0;3;0;0;0.0;0.003;0.001;0.0;15.384615384615383;0.003;84.28396666231194;
DC2_VM0;0;31;1;8;0;0;0.0;0.003;0.001;0.0;15.384615384615383;0.003;93.71778651603535;
DC2_VM0;0;26;0;3;0;1;0.0;0.003;0.001;0.0;15.384615384615383;0.003;109.06237082444508;
DC2_VM0;0;31;1;8;0;1;0.0;0.003;0.001;0.0;15.384615384615383;0.003;112.38931866028278;
DC2_VM0;0;26;0;3;0;2;0.0;0.003;0.001;0.0;15.384615384615383;0.003;125.80044185526071;
DC2_VM0;0;26;1;1;0;0;0.0;0.003;0.001;0.0;15.384615384615383;0.003;125.49754381308331;
DC2_VM0;0;31;1;8;0;2;0.0;0.003;0.001;0.0;15.384615384615383;0.003;124.7441356385178;
DC2_VM0;0;26;2;3;0;0;0.0;0.003;0.001;0.0;15.384615384615383;0.003;135.39961548905444;
