PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
DC0_VM0;0;122;1;2;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;100;0;19;0;6;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;38;0;9;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;2;4;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;100;0;19;0;7;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;122;1;2;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;100;0;19;0;8;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;3;8;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;114;3;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;105;1;2;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;105;2;3;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;2;4;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;39;1;31;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;38;0;9;0;5;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;55;0;40;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;3;8;0;5;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;79;0;11;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;105;2;3;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;30;3;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
