REJECTED_BY;PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
;;0;52;0;1;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;82.0;
;DC0_VM0;0;52;1;1;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;53.82998525366938;
;DC0_VM0;0;52;2;4;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;18.134186637555104;
;DC0_VM0;0;52;2;4;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.07646355842928187;
;DC0_VM0;0;52;2;4;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;0;4;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;0;4;0;3;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;1;3;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;1;3;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;1;3;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;2;4;0;3;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;;0;53;2;3;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;86.35459511919419;
;DC0_VM0;0;52;3;2;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;73.0937504521184;
;DC0_VM0;0;53;2;3;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;65.44877501392989;
;DC0_VM0;0;53;2;3;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;29.922177842309964;
;DC0_VM0;0;52;3;2;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;;0;52;5;7;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;97.18984882174203;
;DC0_VM0;0;52;5;7;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;70.59488670574706;
;DC0_VM0;0;52;5;7;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;3.9352371688748917;
;DC0_VM0;0;52;5;7;0;3;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;5;7;0;4;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;5;7;0;5;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;5;7;0;6;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;;0;53;5;8;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;82.0;
;DC0_VM0;0;53;5;8;0;3;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;76.10928743369129;
;DC0_VM0;0;52;6;6;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;54.48120905848418;
;DC0_VM0;0;52;6;6;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;52.647536334492884;
;DC0_VM0;0;52;6;6;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;39.42035150269169;
;DC0_VM0;0;52;6;6;0;3;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;34.94597559567171;
;DC0_VM0;0;52;6;6;0;4;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;32.49800764152849;
;DC0_VM0;0;52;6;6;0;5;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;29.492547682299687;
;DC0_VM0;0;52;8;5;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;15.411952110371544;
;DC0_VM0;0;53;5;8;0;4;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;5.396451877371419;
;DC0_VM0;0;52;8;5;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;5;8;0;5;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;5;8;0;6;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;8;5;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;8;5;0;3;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;8;5;0;4;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;10;1;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;5;8;0;7;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;;0;53;6;1;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;89.54781741475563;
;DC0_VM0;0;52;11;4;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;89.46543339019945;
;DC0_VM0;0;52;11;4;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;79.20963033165265;
;DC0_VM0;0;53;7;1;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;64.90444822550785;
;DC0_VM0;0;52;11;4;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;61.588589837444374;
;DC0_VM0;0;53;8;9;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;49.610463208011765;
;DC0_VM0;0;52;11;4;0;3;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;47.71649050462884;
;DC0_VM0;0;53;8;9;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;12;6;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;12;6;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;12;6;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;8;9;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;12;6;0;3;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;12;6;0;4;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;12;6;0;5;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;8;9;0;3;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;8;9;0;4;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;8;9;0;5;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;14;4;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;14;4;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;8;9;0;6;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;8;9;0;7;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;14;4;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;8;9;0;8;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;9;8;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;9;8;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;9;8;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;9;8;0;3;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;9;8;0;4;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;9;8;0;5;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;9;8;0;6;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;53;9;8;0;7;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;14;4;0;3;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;;0;52;15;6;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;96.73400673677133;
;DC0_VM0;0;52;15;6;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;75.52790236979786;
;DC0_VM0;0;52;15;6;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;39.26699338300591;
;DC0_VM0;0;52;15;6;0;3;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;36.6886085139854;
;DC0_VM0;0;52;15;6;0;4;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;33.0347739717356;
;DC0_VM0;0;52;15;6;0;5;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.5077175459473438;
;;0;52;16;20;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;90.31618503426603;
;DC0_VM0;0;52;16;20;0;1;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;76.24396408051985;
;DC0_VM0;0;52;16;20;0;2;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;58.10082542081045;
;DC0_VM0;0;52;16;20;0;3;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;6.841243346366127;
;DC0_VM0;0;52;16;20;0;4;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;5;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;6;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;7;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;8;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;9;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;10;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;11;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;12;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;13;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;14;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;15;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;16;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;17;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;18;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;DC0_VM0;0;52;16;20;0;19;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;0.0;
;;0;52;18;15;0;0;0.0;0.003;0.001;0.0;0.7692307692307692;0.003;82.0;
