PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
null;2;112;0;4;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;82.0;
null;1;88;0;1;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;82.0;
DC0_VM2;2;122;3;67;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;80.78669555210939;
null;0;59;0;2;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;82.0;
DC0_VM1;1;93;2;6;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;81.24162674058302;
DC0_VM2;2;105;0;3;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;81.37448745643573;
DC0_VM0;0;65;0;16;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;83.99305954700357;
DC0_VM1;1;76;0;5;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;85.45343458433545;
DC0_VM2;2;122;3;67;0;1;0.0;0.003;0.001;0.0;4.615384615384615;0.003;84.8433851535439;
DC0_VM0;0;45;1;3;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;85.4587236002668;
DC0_VM1;1;88;1;1;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;89.90567894930994;
DC0_VM2;2;112;0;4;0;1;0.0;0.003;0.001;0.0;4.615384615384615;0.003;86.4696059111096;
DC0_VM0;0;50;0;1;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;89.37918857185316;
DC0_VM1;1;93;2;6;0;1;0.0;0.003;0.001;0.0;4.615384615384615;0.003;93.30597006584732;
DC0_VM2;2;121;0;3;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;83.49748451154372;
DC0_VM0;0;65;0;16;0;1;0.0;0.003;0.001;0.0;4.615384615384615;0.003;88.43151396714975;
DC0_VM1;1;88;2;2;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;95.70765968581934;
DC0_VM2;2;101;0;1;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;81.95013401253462;
DC0_VM0;0;35;0;4;0;0;0.0;0.003;0.001;0.0;4.615384615384615;0.003;89.46811265671067;
