REJECTED_BY;PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
;;0;57;46;33;0;13;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;82.0;
;DC1_VM0;0;57;46;33;0;14;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;78.39593063120446;
;DC1_VM0;0;57;46;33;0;15;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;16;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;17;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;18;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;19;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;20;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;21;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;22;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;23;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;24;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;25;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;26;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;27;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;28;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;29;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;30;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;31;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC1_VM0;0;57;46;33;0;32;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;;0;57;47;1;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;82.0;
;DC1_VM0;0;57;48;3;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;68.06128886077931;
;DC1_VM0;0;57;48;3;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;59.70705381064545;
;DC1_VM0;0;57;48;3;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;44.61437265977656;
;;0;57;52;6;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;82.0;
;DC1_VM0;0;57;52;6;0;5;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;60.789539926339785;
;;0;51;0;11;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;82.0;
;DC2_VM0;0;51;0;11;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;69.08283701897118;
;DC2_VM0;0;55;2;4;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;55;2;4;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;57;42;5;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;57;42;5;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;54;66;6;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;57;46;33;0;10;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;57;46;33;0;11;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;57;46;33;0;12;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;88;5;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;89;2;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;89;2;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;90;1;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;91;9;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;91;9;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;91;9;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;91;9;0;5;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;91;9;0;6;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;91;9;0;7;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;92;15;0;14;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;93;2;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;93;2;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;94;23;0;8;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;94;23;0;9;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;94;23;0;10;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;94;23;0;11;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;94;23;0;12;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;94;23;0;13;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;94;23;0;14;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC2_VM0;0;50;94;23;0;15;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;;0;55;0;1;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;82.0;
;DC3_VM0;0;55;1;2;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;76.71169083730732;
;DC3_VM0;0;55;1;2;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;57.29239536649149;
;DC3_VM0;0;55;2;4;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;28.775582032408643;
;DC3_VM0;0;54;0;19;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;20.822345848264234;
;DC3_VM0;0;55;2;4;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;19.369272424597597;
;DC3_VM0;0;54;0;19;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;16.264482029415106;
;DC3_VM0;0;54;0;19;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;5;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;6;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;7;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;8;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;9;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;10;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;11;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;12;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;13;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;14;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;15;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;16;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;17;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;0;19;0;18;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;1;3;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;1;3;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;1;3;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;2;3;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;2;3;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;2;3;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;3;2;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;3;2;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;4;5;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;4;5;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;4;5;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;4;5;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;4;5;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;5;3;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;5;3;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;5;3;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;7;1;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;8;4;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;8;4;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;8;4;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;8;4;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;9;2;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;9;2;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;10;1;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;5;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;6;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;7;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;8;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;9;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;10;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;11;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;12;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;13;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;55;20;5;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;55;20;5;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;55;20;5;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;14;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;55;21;1;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;15;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;13;17;0;16;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;14;1;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;15;3;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;15;3;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;15;3;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC3_VM0;0;54;16;1;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
