REJECTED_BY;PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
;;0;60;0;11;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;82.0;
;DC0_VM0;0;57;0;2;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;80.8260156937523;
;DC0_VM0;0;64;0;1;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;76.41608333379241;
;DC0_VM0;0;60;0;11;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;75.79884589059863;
;DC0_VM0;0;57;0;2;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;72.05656732317485;
;DC0_VM0;0;60;0;11;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;72.1852833024321;
;DC0_VM0;0;64;2;18;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;71.22205839102304;
;DC0_VM0;0;63;0;2;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;69.96600742861538;
;DC0_VM0;0;79;0;2;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;54.43502110558131;
;DC0_VM0;0;79;0;2;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;47.38723196308883;
;DC0_VM0;0;63;0;2;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;41.26944262184931;
;DC0_VM0;0;60;0;11;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;37.89118866072238;
;DC0_VM0;0;60;0;11;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;33.13087080768524;
;DC0_VM0;0;57;1;17;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;26.29524691488141;
;DC0_VM0;0;60;0;11;0;5;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;23.880867917879257;
;DC0_VM0;0;64;2;18;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;22.258560033810213;
;DC0_VM0;0;64;2;18;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;12.260849101017655;
;DC0_VM0;0;57;1;17;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;10.618545075405436;
;DC0_VM0;0;60;0;11;0;6;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;4.194864263708112;
;DC0_VM0;0;63;1;7;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;60;0;11;0;7;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;63;1;7;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;63;1;7;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;63;1;7;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;79;1;2;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
