VM name; State; Duration 
DC0_VM0;INACTIVE;6.20748602987185
DC0_VM0;INITIATING;83.53846153846153
DC0_VM0;IDLE;0.0
DC0_VM0;ACTIVE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.538461538461533
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;TRANSFERING_USER;0.009999999999990905
DC0_VM0;IDLE;0.0
DC0_VM0;ACTIVE;0.0
DC0_VM0;PROCESS;1.5384615384615472
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;1.5384615384615472
