REJECTED_BY;PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
;;0;125;0;20;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;82.0;
;DC0_VM0;0;89;0;5;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;74.03903590091429;
;DC0_VM0;0;123;0;6;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;74.17640140373376;
;DC0_VM0;0;65;0;3;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;74.13250968594079;
;DC0_VM0;0;125;0;20;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;73.32312935730843;
;DC0_VM0;0;122;0;4;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;72.97884577821547;
;DC0_VM0;0;123;0;6;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;70.87867416655217;
;DC0_VM0;0;58;1;3;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;68.04455428675736;
;DC0_VM0;0;123;0;6;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;66.96588486468826;
;DC0_VM0;0;125;0;20;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;65.73800285557533;
;DC0_VM0;0;123;0;6;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;62.894218100352745;
;DC0_VM0;0;89;0;5;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;59.55366502698138;
;DC0_VM0;0;123;0;6;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;55.232070968705905;
;DC0_VM0;0;101;0;4;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;53.608919764361;
;DC0_VM0;0;122;0;4;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;52.11067044396175;
;DC0_VM0;0;89;0;5;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;51.29326907520311;
;DC0_VM0;0;125;0;20;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;49.281915990182085;
;DC0_VM0;0;122;0;4;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;45.61665788947466;
;DC0_VM0;0;58;1;3;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;42.58934002648219;
;DC0_VM0;0;89;0;5;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;28.098581819704137;
;DC0_VM0;0;125;0;20;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;24.98980836966483;
;DC0_VM0;0;101;0;4;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;21.85963559249882;
;DC0_VM0;0;122;0;4;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;21.430710680515986;
;DC0_VM0;0;125;0;20;0;5;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;19.216426132898945;
;DC0_VM0;0;89;0;5;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;17.62629367570763;
;DC0_VM0;0;125;0;20;0;6;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;12.500061599573982;
;DC0_VM0;0;123;0;6;0;5;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;89;1;8;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;123;1;7;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;101;0;4;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;58;1;3;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;123;1;7;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;58;2;1;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;122;1;4;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;122;1;4;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;122;1;4;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;123;1;7;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;58;3;2;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;123;1;7;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;122;1;4;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;89;1;8;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;58;3;2;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;89;1;8;0;2;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;58;7;1;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;89;1;8;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;123;1;7;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;122;2;2;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;89;1;8;0;4;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;122;2;2;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;122;3;2;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;101;0;4;0;3;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;89;1;8;0;5;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;89;1;8;0;6;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;123;1;7;0;5;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;89;1;8;0;7;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;122;3;2;0;1;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;89;2;7;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
;DC0_VM0;0;101;1;2;0;0;0.0;0.003;0.001;0.0;0.3846153846153846;0.003;0.0;
