RBS;Occupancy;Time 
RBS_0;6;4.616320001185209
RBS_0;6;10.29565013441226
RBS_0;6;10.699226906044426
RBS_0;6;12.077460655301794
RBS_0;6;14.472601775518704
RBS_0;6;18.608252551614065
RBS_0;6;25.65636586359315
RBS_0;6;26.195758566564567
RBS_0;6;34.76720119349906
RBS_0;6;36.32616644668675
RBS_0;6;42.80627408953487
RBS_0;6;46.28883154081545
RBS_0;6;52.78451583549665
RBS_0;6;55.346635316712664
RBS_0;6;61.514790871106584
RBS_0;6;63.00950531639918
RBS_0;6;64.94229426032132
RBS_0;6;72.97864859733056
RBS_0;6;86.99977948982975
RBS_0;6;92.75600031650849
RBS_0;6;96.97265420923856
RBS_0;6;98.36459712916277
RBS_0;5;105.07723608787427
RBS_0;5;121.48023502134699
RBS_0;5;123.48499763706735
RBS_0;5;126.21406440567405
RBS_0;5;133.04143489901003
RBS_0;5;137.5228937398401
RBS_0;5;147.56504626447867
RBS_0;5;161.25565603193328
RBS_0;5;166.22104424492727
RBS_0;5;175.24244317072646
RBS_0;5;178.64917745644144
RBS_0;5;182.62021780646228
RBS_0;5;184.19225097337645
RBS_0;5;190.82020841699278
RBS_0;5;191.8024736514101
RBS_0;5;215.43674728838658
RBS_0;5;217.6368057291059
RBS_0;5;221.68192472198314
RBS_0;5;222.49977738279225
RBS_0;5;238.73196227594846
RBS_0;5;239.95122193814444
RBS_0;5;252.36630935400342
RBS_0;5;256.82482760284904
RBS_0;5;282.59266292628564
RBS_0;5;284.9887200571867
RBS_0;5;299.64471673533507
RBS_0;5;309.37290179534244
RBS_0;5;315.4805652666576
RBS_0;5;336.70508351168127
RBS_0;5;347.7658676928391
RBS_0;5;353.68841769419254
RBS_0;5;392.73533680115156
RBS_0;5;394.4168295351915
RBS_0;5;397.9857455784269
RBS_0;5;403.6899400388543
RBS_0;5;409.7355097626347
RBS_0;5;415.53441849029866
RBS_0;5;418.3003705993091
RBS_0;5;441.4181729173458
RBS_0;5;445.4637773904665
RBS_0;5;446.4588280891466
RBS_0;5;457.0098674948015
RBS_0;5;462.0089825396274
RBS_0;5;465.55488415728445
RBS_0;5;476.87064293443336
RBS_0;5;480.01038728639895
RBS_0;5;480.1883166852706
RBS_0;5;488.0459618439768
RBS_0;5;488.14293881205845
RBS_0;5;499.94901170477334
RBS_0;6;505.5227946447879
RBS_0;6;505.6605503458237
RBS_0;6;514.0660022985849
RBS_0;6;535.9494677511404
RBS_0;6;544.6162754694672
RBS_0;6;544.7505057164341
RBS_0;6;556.098267761202
RBS_0;6;560.2174579952011
RBS_0;6;566.8680606361271
RBS_0;6;573.6668378581641
RBS_0;6;583.164408276579
RBS_0;6;583.6418723584918
RBS_0;6;590.0688551661841
RBS_0;5;608.4533000387238
RBS_0;5;620.4927699028324
RBS_0;5;627.0549826712373
RBS_0;5;630.6612773263964
RBS_0;5;638.0067352184916
RBS_0;5;642.5579059308504
RBS_0;5;660.7143955036674
RBS_0;5;666.438659101659
RBS_0;5;677.4535342283002
RBS_0;5;677.5463195125452
RBS_0;5;679.8307187104992
RBS_0;5;681.0535980912813
RBS_0;5;687.4077178832468
RBS_0;5;694.6730838793194
RBS_0;5;696.6854358947014
RBS_0;5;718.765854465978
RBS_0;5;722.5829662418963
RBS_0;5;753.7797473746532
RBS_0;5;754.7759188782474
RBS_0;5;760.7518035541025
RBS_0;5;764.0322615697803
RBS_0;5;767.8221751353835
RBS_0;5;768.1628001537949
RBS_0;5;771.6482295036124
RBS_0;5;778.2405062675222
RBS_0;5;785.8093319685876
RBS_0;5;793.7468125381131
RBS_0;5;799.2017168589093
RBS_0;5;807.4468749165695
RBS_0;5;821.3173788868878
RBS_0;5;829.1458666833403
RBS_0;5;860.0531272218427
RBS_0;5;861.4203469384311
RBS_0;5;865.1375824089907
RBS_0;5;897.1178381556764
RBS_0;6;901.2861691708017
RBS_0;6;901.4447298996411
RBS_0;6;917.1603443810624
RBS_0;6;920.3759660901449
RBS_0;6;920.7883651037956
RBS_0;6;921.8430872510434
RBS_0;6;926.0511909303596
RBS_0;6;928.9542167388746
RBS_0;6;933.712543118546
RBS_0;6;935.8853779992276
RBS_0;6;939.3205560860272
RBS_0;6;940.089386534295
RBS_0;6;943.7320539384576
RBS_0;6;952.5895850511561
RBS_0;6;954.4164957251489
RBS_0;6;955.379000877011
RBS_0;6;956.6312580848189
RBS_0;6;963.4434956889257
RBS_0;6;978.7250739915653
RBS_0;6;978.9077130643428
RBS_0;6;979.2408733819746
RBS_0;6;984.3711457722901
RBS_0;6;990.0683793725699
RBS_0;6;995.1867209056675
RBS_0;6;1000.9872909030444
RBS_0;6;1007.7348941274572
RBS_0;6;1008.9076934645146
RBS_0;6;1011.5460934840047
RBS_0;6;1011.5565181704649
RBS_0;6;1014.41357800005
RBS_0;6;1025.4028121288734
RBS_0;6;1031.4284784307824
RBS_0;6;1038.8564861531454
RBS_0;6;1046.18182452073
RBS_0;6;1059.9744199500385
RBS_0;6;1064.8447676162432
RBS_0;6;1070.602174316469
RBS_0;6;1071.9548719755614
RBS_0;6;1077.0268684648477
RBS_0;6;1078.981301727966
RBS_0;6;1092.8401588984352
RBS_0;6;1096.7533272136238
RBS_0;6;1097.932784649796
RBS_0;7;1102.5508937880356
RBS_0;7;1103.9948138266545
RBS_0;7;1110.228020973233
RBS_0;7;1115.485774767435
RBS_0;7;1118.4389517999196
RBS_0;7;1128.8105557882495
RBS_0;7;1129.8140832499516
RBS_0;7;1141.1600374788572
RBS_0;7;1141.2242589628627
RBS_0;7;1142.5455252293723
RBS_0;7;1149.180879953332
RBS_0;7;1152.6825283578978
RBS_0;7;1157.9763553126058
RBS_0;7;1161.589037644134
RBS_0;7;1166.5850945961192
RBS_0;7;1172.0001200527574
RBS_0;7;1183.3559744959864
RBS_0;7;1185.0757201854274
RBS_0;7;1196.7186766930254
RBS_0;7;1209.174334501079
RBS_0;7;1216.408412874454
RBS_0;7;1216.496587626113
RBS_0;7;1219.5282415715503
RBS_0;7;1223.7583337378237
RBS_0;7;1225.1447448683325
RBS_0;7;1226.8120354101843
RBS_0;7;1232.0093056551796
RBS_0;7;1239.1560876932247
RBS_0;7;1246.7898120893728
RBS_0;7;1252.000018846765
RBS_0;7;1261.61917331852
RBS_0;7;1264.0275895139403
RBS_0;7;1265.3982758234686
RBS_0;7;1274.2620896387048
RBS_0;7;1274.6193628442384
RBS_0;7;1280.1792040068733
RBS_0;7;1290.8699113159544
RBS_0;7;1293.5688657716894
RBS_0;7;1296.2742556364308
RBS_0;7;1299.7156312287768
RBS_0;7;1302.18881725247
RBS_0;7;1303.7112887425988
RBS_0;7;1304.926182426761
RBS_0;7;1311.55945386778
RBS_0;7;1316.3019221864142
RBS_0;7;1320.2779808355083
RBS_0;7;1320.499298844053
RBS_0;7;1322.8296776888305
RBS_0;7;1327.2014248186488
RBS_0;7;1335.2525739312084
RBS_0;7;1339.5463939154768
RBS_0;7;1343.5041326718133
RBS_0;7;1350.8240740317515
RBS_0;7;1354.2596253876065
RBS_0;7;1354.5832311226677
RBS_0;7;1356.6551360606904
RBS_0;7;1372.1301104688846
RBS_0;7;1378.4537500385613
RBS_0;7;1379.2249837268323
RBS_0;7;1383.227633491281
RBS_0;7;1393.769281966742
RBS_0;7;1399.9488815305635
RBS_0;6;1410.904801299063
RBS_0;6;1455.5335327572307
RBS_0;6;1459.810219973914
RBS_0;6;1468.1330341834255
RBS_0;6;1471.6152883572304
RBS_0;6;1478.4259386939675
RBS_0;6;1485.3517503214912
RBS_0;6;1491.0944204827456
RBS_0;6;1494.111719059111
RBS_0;6;1499.391355257571
RBS_0;6;1499.685541974623
RBS_0;7;1500.538526038949
RBS_0;7;1502.5886482644053
RBS_0;7;1505.0873926662111
RBS_0;7;1505.844461599803
RBS_0;7;1517.9846687842441
RBS_0;7;1519.9266846713556
RBS_0;7;1532.4074462693484
RBS_0;7;1538.840799739093
RBS_0;7;1539.7312785892884
RBS_0;7;1543.7213032684676
RBS_0;7;1548.5423322069664
RBS_0;7;1553.1736945469988
RBS_0;7;1555.1681205700893
RBS_0;7;1570.969489434374
RBS_0;7;1584.8035990786038
RBS_0;7;1587.9372474443335
RBS_0;7;1592.4112104957198
RBS_0;7;1604.716023708943
RBS_0;7;1610.6144833812853
RBS_0;7;1611.7399505372582
RBS_0;7;1614.4804148623302
RBS_0;7;1619.3370636995771
RBS_0;7;1624.8624270491616
RBS_0;7;1626.6567035308822
RBS_0;7;1630.2181958869205
RBS_0;7;1639.0171796942413
RBS_0;7;1643.2028056363602
RBS_0;7;1646.919270184967
RBS_0;7;1650.0175220498904
RBS_0;7;1664.8154237743054
RBS_0;7;1665.3425122579433
RBS_0;7;1666.47381446366
RBS_0;7;1669.9172482135295
RBS_0;7;1673.1528399701967
RBS_0;7;1681.65359862828
RBS_0;7;1683.5183559081306
RBS_0;7;1686.164522756792
RBS_0;7;1686.8628012698637
RBS_0;7;1689.97452821985
RBS_0;7;1691.5782219074092
RBS_0;7;1692.8133816003478
RBS_0;7;1693.6484310896255
RBS_0;7;1695.8879027747864
