PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
null;0;50;0;23;0;0;0.0;0.003;0.001;0.0;5.86099995594011;0.003;82.0;
DC9_VM0;0;50;0;23;0;1;0.0;0.003;0.001;0.0;5.86099995594011;0.003;87.24077517459278;
DC9_VM0;0;50;0;23;0;2;0.0;0.003;0.001;0.0;5.86099995594011;0.003;92.81906434585251;
DC9_VM0;0;50;0;23;0;3;0.0;0.003;0.001;0.0;5.86099995594011;0.003;98.49568998481784;
DC9_VM0;0;50;0;23;0;4;0.0;0.003;0.001;0.0;5.86099995594011;0.003;104.12849506067681;
DC9_VM0;0;50;0;23;0;5;0.0;0.003;0.001;0.0;5.86099995594011;0.003;109.84893388256717;
DC9_VM0;0;50;0;23;0;6;0.0;0.003;0.001;0.0;5.86099995594011;0.003;115.5834762987685;
DC9_VM0;0;50;0;23;0;7;0.0;0.003;0.001;0.0;5.86099995594011;0.003;121.2290080396821;
DC9_VM0;0;50;0;23;0;8;0.0;0.003;0.001;0.0;5.86099995594011;0.003;126.94743759823517;
DC9_VM0;0;50;0;23;0;9;0.0;0.003;0.001;0.0;5.86099995594011;0.003;132.44039426956883;
DC9_VM0;0;50;0;23;0;10;0.0;0.003;0.001;0.0;5.86099995594011;0.003;138.1574911875602;
DC9_VM0;0;50;0;23;0;11;0.0;0.003;0.001;0.0;5.86099995594011;0.003;143.53384906076525;
DC9_VM0;0;50;0;23;0;12;0.0;0.003;0.001;0.0;5.86099995594011;0.003;148.8690048995179;
DC9_VM0;0;50;0;23;0;13;0.0;0.003;0.001;0.0;5.86099995594011;0.003;154.4500818461234;
DC9_VM0;0;50;0;23;0;14;0.0;0.003;0.001;0.0;5.86099995594011;0.003;160.15127091008497;
DC9_VM0;0;50;0;23;0;15;0.0;0.003;0.001;0.0;5.86099995594011;0.003;164.87874940025807;
DC9_VM0;0;50;0;23;0;16;0.0;0.003;0.001;0.0;5.86099995594011;0.003;170.39669178834347;
DC9_VM0;0;50;0;23;0;17;0.0;0.003;0.001;0.0;5.86099995594011;0.003;175.97414152618552;
DC9_VM0;0;50;0;23;0;18;0.0;0.003;0.001;0.0;5.86099995594011;0.003;181.22871220372164;
DC9_VM0;0;50;0;23;0;19;0.0;0.003;0.001;0.0;5.86099995594011;0.003;186.64278655375026;
