RBS;Occupancy;Time 
RBS_0;0;-1.0
RBS_1;0;-1.0
RBS_2;0;-1.0
RBS_3;0;-1.0
RBS_4;0;-1.0
RBS_5;0;-1.0
RBS_6;0;-1.0
RBS_7;0;-1.0
RBS_8;1;11.063399025471602
RBS_8;1;15.148020046757406
RBS_8;1;249.46178058243285
RBS_8;1;280.9918564503207
RBS_8;1;305.7545505748567
RBS_8;1;308.40522270100655
RBS_8;1;348.29728868390174
RBS_8;1;361.2419364328978
RBS_8;1;380.1755214998191
RBS_8;0;436.5765983862483
RBS_8;0;-1.0
RBS_9;1;840.3245493865792
RBS_9;1;951.8890946998174
RBS_9;1;978.791485824116
RBS_9;1;981.4290865505025
RBS_9;1;984.7600574205703
RBS_9;1;-1.0
RBS_10;0;-1.0
RBS_11;0;-1.0
RBS_12;1;436.5765983862483
RBS_12;1;449.2203611286003
RBS_12;1;462.96116618936895
RBS_12;1;489.2977476184527
RBS_12;1;502.75844196785636
RBS_12;1;516.697665013307
RBS_12;1;551.1016494703872
RBS_12;1;662.038052600124
RBS_12;1;677.953991485782
RBS_12;1;699.0449968184689
RBS_12;0;703.8243217044337
RBS_12;0;-1.0
RBS_13;1;703.8243217044337
RBS_13;1;705.4885279711402
RBS_13;1;716.9937833829684
RBS_13;0;840.3245493865792
RBS_13;0;-1.0
RBS_14;0;-1.0
RBS_15;0;-1.0
