SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
0;50;0;83;0;0;0.0;0.003;0.001;0.0;5.950468735064062;0.003;82.0;
0;50;0;83;0;1;0.0;0.003;0.001;0.0;5.950468735064062;0.003;87.78986152671317;
0;50;0;83;0;2;0.0;0.003;0.001;0.0;5.950468735064062;0.003;93.53585204016932;
0;50;0;83;0;3;0.0;0.003;0.001;0.0;5.950468735064062;0.003;99.38845220492696;
0;50;0;83;0;4;0.0;0.003;0.001;0.0;5.950468735064062;0.003;105.23390889303757;
0;50;0;83;0;5;0.0;0.003;0.001;0.0;5.950468735064062;0.003;110.86998437780204;
0;50;0;83;0;6;0.0;0.003;0.001;0.0;5.950468735064062;0.003;116.47091598551711;
0;50;0;83;0;7;0.0;0.003;0.001;0.0;5.950468735064062;0.003;122.04358843280392;
0;50;0;83;0;8;0.0;0.003;0.001;0.0;5.950468735064062;0.003;127.98928671642803;
0;50;0;83;0;9;0.0;0.003;0.001;0.0;5.950468735064062;0.003;133.45914098506222;
0;50;0;83;0;10;0.0;0.003;0.001;0.0;5.950468735064062;0.003;139.28317173746478;
0;50;0;83;0;11;0.0;0.003;0.001;0.0;5.950468735064062;0.003;144.99144823806498;
0;50;0;83;0;12;0.0;0.003;0.001;0.0;5.950468735064062;0.003;150.73697624881407;
0;50;0;83;0;13;0.0;0.003;0.001;0.0;5.950468735064062;0.003;156.4746100320439;
0;50;0;83;0;14;0.0;0.003;0.001;0.0;5.950468735064062;0.003;162.1972148235281;
0;50;0;83;0;15;0.0;0.003;0.001;0.0;5.950468735064062;0.003;167.99222599757954;
0;50;0;83;0;16;0.0;0.003;0.001;0.0;5.950468735064062;0.003;173.85234815005705;
0;50;0;83;0;17;0.0;0.003;0.001;0.0;5.950468735064062;0.003;179.6557631175121;
0;50;0;83;0;18;0.0;0.003;0.001;0.0;5.950468735064062;0.003;185.34351624629136;
0;50;0;83;0;19;0.0;0.003;0.001;0.0;5.950468735064062;0.003;190.91333372252575;
0;50;0;83;0;20;0.0;0.003;0.001;0.0;5.950468735064062;0.003;196.6084182654579;
0;50;0;83;0;21;0.0;0.003;0.001;0.0;5.950468735064062;0.003;202.41033809465256;
0;50;0;83;0;22;0.0;0.003;0.001;0.0;5.950468735064062;0.003;207.86329440409716;
0;50;0;83;0;23;0.0;0.003;0.001;0.0;5.950468735064062;0.003;213.56193910821148;
0;50;0;83;0;24;0.0;0.003;0.001;0.0;5.950468735064062;0.003;219.17778367439058;
0;50;0;83;0;25;0.0;0.003;0.001;0.0;5.950468735064062;0.003;224.576447592376;
0;50;0;83;0;26;0.0;0.003;0.001;0.0;5.950468735064062;0.003;229.59960859717367;
0;50;0;83;0;27;0.0;0.003;0.001;0.0;5.950468735064062;0.003;235.46899825020787;
0;50;0;83;0;28;0.0;0.003;0.001;0.0;5.950468735064062;0.003;240.94932644473383;
0;50;0;83;0;29;0.0;0.003;0.001;0.0;5.950468735064062;0.003;246.038100889857;
0;50;0;83;0;30;0.0;0.003;0.001;0.0;5.950468735064062;0.003;251.7634703582557;
0;50;0;83;0;31;0.0;0.003;0.001;0.0;5.950468735064062;0.003;257.32382729683655;
0;50;0;83;0;32;0.0;0.003;0.001;0.0;5.950468735064062;0.003;262.81129753137526;
