PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
null;0;50;0;24;0;0;0.0;0.003;0.001;0.0;5.86099995594011;0.003;82.0;
DC11_VM0;0;50;0;24;0;1;0.0;0.003;0.001;0.0;5.86099995594011;0.003;87.75878643238542;
DC11_VM0;0;50;0;24;0;2;0.0;0.003;0.001;0.0;5.86099995594011;0.003;93.1621460655325;
DC11_VM0;0;50;0;24;0;3;0.0;0.003;0.001;0.0;5.86099995594011;0.003;98.17512257411374;
DC11_VM0;0;50;0;24;0;4;0.0;0.003;0.001;0.0;5.86099995594011;0.003;103.8566435679447;
DC11_VM0;0;50;0;24;0;5;0.0;0.003;0.001;0.0;5.86099995594011;0.003;109.31644473762087;
DC11_VM0;0;50;0;24;0;6;0.0;0.003;0.001;0.0;5.86099995594011;0.003;115.1274020889371;
DC11_VM0;0;50;0;24;0;7;0.0;0.003;0.001;0.0;5.86099995594011;0.003;120.6542846262111;
DC11_VM0;0;50;0;24;0;8;0.0;0.003;0.001;0.0;5.86099995594011;0.003;126.27117152169932;
DC11_VM0;0;50;0;24;0;9;0.0;0.003;0.001;0.0;5.86099995594011;0.003;132.08935566878685;
DC11_VM0;0;50;0;24;0;10;0.0;0.003;0.001;0.0;5.86099995594011;0.003;137.37010841235315;
DC11_VM0;0;50;0;24;0;11;0.0;0.003;0.001;0.0;5.86099995594011;0.003;142.94673261251307;
DC11_VM0;0;50;0;24;0;12;0.0;0.003;0.001;0.0;5.86099995594011;0.003;148.45937853446375;
DC11_VM0;0;50;0;24;0;13;0.0;0.003;0.001;0.0;5.86099995594011;0.003;154.00660978515984;
DC11_VM0;0;50;0;24;0;14;0.0;0.003;0.001;0.0;5.86099995594011;0.003;159.71883734486698;
DC11_VM0;0;50;0;24;0;15;0.0;0.003;0.001;0.0;5.86099995594011;0.003;165.09107591731131;
DC11_VM0;0;50;0;24;0;16;0.0;0.003;0.001;0.0;5.86099995594011;0.003;170.31899205369825;
DC11_VM0;0;50;0;24;0;17;0.0;0.003;0.001;0.0;5.86099995594011;0.003;175.32119914791213;
DC11_VM0;0;50;0;24;0;18;0.0;0.003;0.001;0.0;5.86099995594011;0.003;180.87489217276195;
DC11_VM0;0;50;0;24;0;19;0.0;0.003;0.001;0.0;5.86099995594011;0.003;186.26990258206962;
DC11_VM0;0;50;0;24;0;20;0.0;0.003;0.001;0.0;5.86099995594011;0.003;192.06647977184878;
DC11_VM0;0;50;0;24;0;21;0.0;0.003;0.001;0.0;5.86099995594011;0.003;197.55711878812144;
DC11_VM0;0;50;0;24;0;22;0.0;0.003;0.001;0.0;5.86099995594011;0.003;203.37779740349148;
DC11_VM0;0;50;0;24;0;23;0.0;0.003;0.001;0.0;5.86099995594011;0.003;208.8833557970762;
DC11_VM0;0;50;1;125;0;0;0.0;0.003;0.001;0.0;5.86099995594011;0.003;213.25087183537593;
DC11_VM0;0;50;1;125;0;1;0.0;0.003;0.001;0.0;5.86099995594011;0.003;218.90981384797436;
DC11_VM0;0;50;1;125;0;2;0.0;0.003;0.001;0.0;5.86099995594011;0.003;224.18096968117342;
DC11_VM0;0;50;1;125;0;3;0.0;0.003;0.001;0.0;5.86099995594011;0.003;229.37979582435773;
DC11_VM0;0;50;1;125;0;4;0.0;0.003;0.001;0.0;5.86099995594011;0.003;235.13091417901273;
DC11_VM0;0;50;1;125;0;5;0.0;0.003;0.001;0.0;5.86099995594011;0.003;240.9594410719342;
DC11_VM0;0;50;1;125;0;6;0.0;0.003;0.001;0.0;5.86099995594011;0.003;246.72166196882813;
DC11_VM0;0;50;1;125;0;7;0.0;0.003;0.001;0.0;5.86099995594011;0.003;252.2769676406539;
DC11_VM0;0;50;1;125;0;8;0.0;0.003;0.001;0.0;5.86099995594011;0.003;258.1243239325961;
DC11_VM0;0;50;1;125;0;9;0.0;0.003;0.001;0.0;5.86099995594011;0.003;263.65330656166975;
DC11_VM0;0;50;1;125;0;10;0.0;0.003;0.001;0.0;5.86099995594011;0.003;269.44711710318;
DC11_VM0;0;50;1;125;0;11;0.0;0.003;0.001;0.0;5.86099995594011;0.003;275.14442786956937;
DC11_VM0;0;50;1;125;0;12;0.0;0.003;0.001;0.0;5.86099995594011;0.003;280.36322996182935;
DC11_VM0;0;50;1;125;0;13;0.0;0.003;0.001;0.0;5.86099995594011;0.003;286.188203479726;
DC11_VM0;0;50;1;125;0;14;0.0;0.003;0.001;0.0;5.86099995594011;0.003;291.760429980721;
DC11_VM0;0;50;1;125;0;15;0.0;0.003;0.001;0.0;5.86099995594011;0.003;297.2632890281228;
DC11_VM0;0;50;1;125;0;16;0.0;0.003;0.001;0.0;5.86099995594011;0.003;302.5022120335901;
DC11_VM0;0;50;1;125;0;17;0.0;0.003;0.001;0.0;5.86099995594011;0.003;308.2013094752726;
DC11_VM0;0;50;1;125;0;18;0.0;0.003;0.001;0.0;5.86099995594011;0.003;313.688764450857;
DC11_VM0;0;50;1;125;0;19;0.0;0.003;0.001;0.0;5.86099995594011;0.003;319.1881925998711;
DC11_VM0;0;50;1;125;0;20;0.0;0.003;0.001;0.0;5.86099995594011;0.003;324.805974297741;
DC11_VM0;0;50;1;125;0;21;0.0;0.003;0.001;0.0;5.86099995594011;0.003;330.13667695316633;
DC11_VM0;0;50;1;125;0;22;0.0;0.003;0.001;0.0;5.86099995594011;0.003;335.8180165023713;
DC11_VM0;0;50;1;125;0;23;0.0;0.003;0.001;0.0;5.86099995594011;0.003;341.2724108988368;
DC11_VM0;0;50;1;125;0;24;0.0;0.003;0.001;0.0;5.86099995594011;0.003;346.5115742732113;
DC11_VM0;0;50;1;125;0;25;0.0;0.003;0.001;0.0;5.86099995594011;0.003;351.98456152949075;
DC11_VM0;0;50;1;125;0;26;0.0;0.003;0.001;0.0;5.86099995594011;0.003;357.8329977309419;
DC11_VM0;0;50;1;125;0;27;0.0;0.003;0.001;0.0;5.86099995594011;0.003;363.3281792599343;
